img,avg
sub-S10896_ses-E19694_run-1_bp-chest_vp-ap_dx.png,105.0535888671875
sub-S09440_ses-E25759_run-1_bp-chest_vp-ap_dx.png,126.61896896362305
sub-S09876_ses-E16947_run-1_bp-chest_vp-pa_cr.png,160.40221786499023
sub-S12448_ses-E25011_acq-2_run-1_bp-chest_vp-pa_dx.png,115.64046478271484
sub-S10050_ses-E17289_run-1_bp-chest_vp-lateral_dx.png,133.79798126220703
sub-S03922_ses-E08044_run-2_bp-chest_vp-pa_dx.png,169.98784255981445
sub-S11292_ses-E22757_run-1_bp-chest_vp-pa_dx.png,116.33978652954102
sub-S03919_ses-E26776_run-1_bp-chest_cr.png,122.35602569580078
sub-S12170_ses-E24046_run-1_bp-chest_vp-ap_dx.png,148.6363983154297
sub-S09387_ses-E20267_run-1_bp-chest_vp-pa_dx.png,149.62056732177734
sub-S09714_ses-E25916_acq-2_run-1_bp-chest_vp-pa_cr.png,74.99057388305664
sub-S03082_ses-E16431_run-1_bp-chest_vp-pa_cr.png,147.06029891967773
sub-S11446_ses-E20764_run-1_bp-chest_vp-ap_dx.png,134.66750717163086
sub-S11439_ses-E20737_run-1_bp-chest_vp-lateral_dx.png,127.31209182739258
sub-S12258_ses-E24318_acq-2_run-1_bp-chest_vp-ll_cr.png,77.68312072753906
sub-S11297_ses-E27064_acq-2_run-1_bp-chest_vp-pa_dx.png,114.42670440673828
sub-S09927_ses-E26361_run-1_bp-chest_vp-ap_dx.png,143.72048568725586
sub-S11426_ses-E24089_acq-2_run-1_bp-chest_vp-ll_dx.png,100.16744613647461
sub-S10202_ses-E17635_run-1_bp-chest_vp-ll_cr.png,106.57291412353516
419639-003089_03-30-2005-XR CHEST 2 VIEWS PA AND LATERAL-54764_1.000000-PA-81877_000000.dcm.png,138.96924018859863
sub-S04103_ses-E27121_run-2_bp-chest_cr.png,157.77682495117188
sub-S10922_ses-E19742_acq-2_run-1_bp-chest_vp-pa_dx.png,148.88071060180664
sub-S04427_ses-E16539_run-2_bp-chest_dx.png,158.40817642211914
sub-S10815_ses-E21741_run-1_bp-chest_vp-ap_dx.png,132.30434799194336
sub-S04041_ses-E08214_run-1_bp-chest_vp-ll_cr.png,119.03783798217773
sub-S11824_ses-E26252_run-1_bp-chest_vp-ap_cr.png,126.7106704711914
sub-S10305_ses-E25620_acq-2_run-1_bp-chest_vp-ll_cr.png,76.33749389648438
sub-S12643_ses-E26192_acq-2_run-1_bp-chest_vp-pa_cr.png,69.89703369140625
sub-S10325_ses-E17880_run-2_bp-chest_vp-pa_dx.png,114.8212661743164
sub-S10327_ses-E18373_run-1_bp-chest_vp-pa_cr.png,174.32355117797852
sub-S09840_ses-E17383_run-1_bp-chest_vp-ap_dx.png,58.659141540527344
419639-001060_07-17-2006-XR CHEST 1 VIEW AP-92092_1.000000-AP-85976_000000.dcm.png,104.03683280944824
sub-S03465_ses-E06942_acq-1_run-1_bp-chest_vp-pa_dx.png,171.08357620239258
sub-S10424_ses-E25210_run-1_bp-chest_vp-pa_dx.png,154.60860443115234
sub-S12567_ses-E25548_run-1_bp-chest_vp-pa_dx.png,132.58420944213867
sub-S04164_ses-E21651_run-1_bp-chest_vp-pa_cr.png,89.0163459777832
sub-S09822_ses-E18999_run-1_bp-chest_vp-ap_dx.png,153.05980682373047
sub-S09529_ses-E17353_run-1_bp-chest_vp-ap_dx.png,145.35801315307617
sub-S10762_ses-E19097_run-1_bp-chest_vp-ap_cr.png,150.12059020996094
sub-S10542_ses-E24615_run-1_bp-chest_vp-ap_dx.png,108.90652465820312
sub-S04507_ses-E08945_run-1_bp-chest_vp-pa_cr.png,120.9839859008789
sub-S09990_ses-E17175_run-1_bp-chest_vp-pa_cr.png,147.92229843139648
sub-S10742_ses-E21195_acq-1_run-1_bp-chest_vp-ll_dx.png,119.01041793823242
sub-S09768_ses-E16745_run-1_bp-chest_vp-ap_dx.png,94.58277130126953
sub-S03186_ses-E06741_acq-1_run-1_bp-chest_vp-pa_dx.png,180.49900817871094
sub-S09676_ses-E19188_run-1_bp-chest_vp-ap_cr.png,132.4438247680664
sub-S03092_ses-E07092_run-1_bp-chest_cr.png,171.60691452026367
sub-S03292_ses-E07005_acq-2_run-1_bp-chest_vp-pa_dx.png,156.53803253173828
sub-S03529_ses-E07174_run-1_bp-chest_vp-pa_cr.png,147.60169219970703
sub-S10251_ses-E17953_run-1_bp-chest_cr.png,169.7114028930664
sub-S09795_ses-E21302_run-1_bp-chest_vp-ap_dx.png,74.0665283203125
